Project Name,URL,Stars,Last Push,Archived,Has POM,Has Gradle,Has Build XML,Recent Commits,likely_buildable
sample-projects,git://github.com/AnderWeb/Sample-Projects.git,19,2012-01-10T19:18:14Z,False,False,False,False,False,False
spring-stringtemplate,git://github.com/tomcz/spring-stringtemplate.git,18,2013-05-28T04:32:45Z,False,False,False,True,False,False
biomixer,git://github.com/thechiselgroup/biomixer.git,17,2016-05-18T16:23:47Z,False,False,False,False,False,False
JagTrack,git://github.com/hjc1710/JagTrack.git,15,2012-05-01T17:05:40Z,False,False,False,False,False,False
cruisecontrol,git://github.com/CruiseControl/cruisecontrol.git,13,2020-01-16T09:50:37Z,False,False,False,True,False,False
ecf,git://github.com/eclipse/ecf.git,12,2026-03-21T00:07:52Z,False,True,False,False,True,True
petals-studio,git://github.com/petalslink/petals-studio.git,12,2019-02-22T11:21:40Z,False,True,False,False,False,False
OpenSIG,git://github.com/pedrohlira/OpenSIG.git,12,2015-09-03T14:15:28Z,False,False,False,False,False,False
openejb,git://github.com/apache/openejb.git,12,2023-07-07T21:18:09Z,False,False,False,False,False,False
cdk,git://github.com/richfaces/cdk.git,11,2014-10-23T12:26:29Z,True,True,False,False,False,False
swing-mvc-demo,git://github.com/raiderx/swing-mvc-demo.git,10,2015-08-27T20:18:11Z,False,True,False,False,False,False
magic-config,git://github.com/bluemagicsource/magic-config.git,9,2020-10-13T10:15:39Z,False,True,False,False,False,False
Alice,git://github.com/zonedabone/Alice.git,9,2012-03-20T13:51:21Z,False,True,False,False,False,False
CIDE,git://github.com/ckaestne/CIDE.git,9,2017-03-18T23:39:43Z,False,False,False,False,False,False
smsc-server,git://github.com/hceylan/smsc-server.git,7,2012-04-27T13:42:16Z,False,True,False,False,False,False
Emma,git://github.com/ehelms/Emma.git,7,2012-03-29T20:23:13Z,False,False,False,True,False,False
lyo.rio,git://github.com/eclipse/lyo.rio.git,7,2022-02-15T15:00:09Z,True,False,False,False,False,False
stratosphere,git://github.com/stratosphere-eu/stratosphere.git,6,2013-10-14T13:52:47Z,False,True,False,False,False,False
small-team-km-android-client,git://github.com/mobile-km/small-team-km-android-client.git,6,2013-01-09T03:55:59Z,False,False,False,False,False,False
cytoscape-plugins,git://github.com/OpenBEL/cytoscape-plugins.git,6,2014-08-01T13:47:29Z,True,False,False,False,False,False
gson,git://github.com/ybonnel/gson.git,6,2011-06-28T22:15:11Z,False,False,False,False,False,False
coala,git://github.com/oehf/coala.git,6,2012-06-25T14:56:54Z,False,True,False,False,False,False
CS230-Software-Project,git://github.com/dandrew2/CS230-Software-Project.git,6,2012-05-09T15:18:24Z,False,False,False,False,False,False
harmony-classlib,git://github.com/apache/harmony-classlib.git,6,2015-11-03T11:20:56Z,False,False,False,True,False,False
modapi,git://github.com/ironchefpython/modapi.git,6,2012-05-06T04:15:48Z,False,False,False,False,False,False
Promasi-V2,git://github.com/npetalid/Promasi-V2.git,5,2014-05-28T06:04:56Z,False,True,False,False,False,False
biojava-legacy,git://github.com/biojava/biojava-legacy.git,5,2025-11-07T17:54:55Z,False,True,False,False,True,True
protoj,git://github.com/headius/protoj.git,5,2012-06-12T19:17:56Z,False,True,False,False,False,False
javassist,git://github.com/svn2github/javassist.git,5,2020-10-12T19:37:43Z,False,True,False,True,False,False
basiclti-portlet,git://github.com/Jasig/basiclti-portlet.git,4,2026-02-16T15:37:43Z,False,True,False,False,True,True
hypergraphdb,git://github.com/sebastiangraf/hypergraphdb.git,4,2012-02-08T09:52:19Z,False,True,False,True,False,False
iBatisWorkShop,git://github.com/novoj/iBatisWorkShop.git,4,2012-04-22T14:44:05Z,True,True,False,False,False,False
sherlog,git://github.com/javakontor/sherlog.git,4,2014-03-25T15:04:05Z,False,False,False,False,False,False
fafdtibb,git://github.com/Xion345/fafdtibb.git,3,2012-06-06T21:36:02Z,False,False,False,False,False,False
mongkie,git://github.com/mongkie/mongkie.git,3,2013-03-06T06:50:48Z,False,False,False,True,False,False
ASEME,git://github.com/nspan/ASEME.git,3,2019-01-15T01:19:55Z,False,False,False,False,False,False
soapui,git://github.com/oysteing/soapui.git,3,2011-07-12T08:30:48Z,False,False,False,False,False,False
dawn-ui,git://github.com/DawnScience/dawn-ui.git,3,2026-03-20T08:59:06Z,False,True,False,False,True,True
