id,recall,precision,f1_score,human_review_count,first_file_precision,first_file_recall,tp_starting_file,tp_sec_files,fp_starting_file,fp_sec_files,count_acc_starting_file,count_acc_secondary_files,count_rej_starting_file,count_rej_secondary_files,tp_count,oracle_count,fp_count,human_rejected_count
696,1.0,1.0,1.0,7,1.0,2.0,6,5,0,0,4,4,0,0,8,8,0,0
698,0.833333,0.75,0.789474,4,0,0,0,5,0,0,1,3,0,1,5,6,0,1
702,0.230769,0.5,0.315789,6,1.0,0,1,2,0,1,2,2,0,3,3,13,1,3
705,1.0,0.6,0.75,5,1.0,2.0,2,2,0,0,2,2,0,2,3,3,0,2
706,0.5,0.307692,0.380952,13,1.0,2.0,2,3,0,0,2,3,0,9,4,8,0,9
707,1.0,0.142857,0.25,7,0.25,0,1,5,3,0,1,1,4,2,6,6,3,6
709,0.342857,0.785714,0.477396,14,1.0,2.0,4,10,0,0,3,9,1,2,12,35,0,3
716,1.0,0.833333,0.909091,12,1.0,2.0,22,0,0,0,11,0,0,2,11,11,0,2
717,0.5,0.5,0.5,14,1.0,0.2857142857142857,2,6,0,0,2,6,0,7,7,14,0,7
720,0.761905,0.809524,0.784993,21,1.0,3.0,3,14,0,0,3,15,0,4,16,21,0,4
721,0.6,0.5,0.545455,6,0,0,0,3,0,0,1,3,1,2,3,5,0,3
724,0.333333,0.2,0.25,5,1.0,0.6666666666666666,2,0,0,0,2,0,1,3,1,3,0,4
727,0.333333,0.5,0.4,2,1.0,2.0,2,0,0,0,2,0,0,1,1,3,0,1
732,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,14,0,0
738,0,0.0,0.0,4,0,0,0,0,0,0,1,0,1,3,0,9,0,4
740,0.857143,0.0,0.0,3,0.5454545454545454,0,6,0,5,0,1,0,2,1,6,7,5,3
744,1.0,0.555556,0.714286,9,1.0,0,1,4,0,0,2,4,4,0,5,5,0,4
745,1.0,0.4,0.571429,5,0,0,0,3,0,0,1,2,0,3,3,3,0,3
747,0.090909,0.166667,0.117647,6,0.0,0,0,1,1,0,1,1,0,5,1,11,1,5
751,0.75,0.5,0.6,8,0,0,0,3,0,0,1,4,0,4,3,4,0,4
752,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,3,0,0
755,1.0,0.444444,0.615385,9,1.0,2.0,2,2,0,0,3,2,2,3,3,3,0,5
758,0,0.0,0.0,3,0,0.0,0,0,0,0,1,0,3,0,0,8,0,3
759,1.0,0.95,0.974359,20,0,0,0,20,0,0,1,19,0,1,20,20,0,1
762,1.0,1.0,1.0,7,1.0,2.0,4,7,0,0,2,6,0,0,9,9,0,0
768,1.0,0.4,0.571429,5,1.0,0,1,2,0,0,1,2,0,3,3,3,0,3
771,1.0,0.5,0.666667,6,1.0,2.0,6,0,0,0,4,0,0,3,3,3,0,3
772,1.0,0.5,0.666667,6,1.0,2.0,6,0,0,0,4,0,2,1,3,3,0,3
773,1.0,0.166667,0.285714,6,0.9,9.0,9,0,1,0,2,0,2,3,8,8,1,5
779,1.0,0.454545,0.625,11,0.875,3.5,7,3,1,0,3,3,4,2,8,8,1,6
780,1.0,0.833333,0.909091,6,0.8333333333333334,2.0,10,0,2,0,6,0,1,0,5,5,1,1
781,1.0,0,0.0,0,1.0,6.0,6,0,0,0,1,0,0,0,5,5,0,0
782,1.0,0.375,0.545455,8,1.0,2.0,2,4,0,0,2,2,1,4,5,5,0,5
786,1.0,0.625,0.769231,8,1.0,2.0,4,1,0,0,4,2,0,3,3,3,0,3
792,1.0,0.25,0.4,4,1.0,2.0,2,2,0,0,1,1,2,1,3,3,0,3
798,0.6875,0.4,0.505747,15,0.8333333333333334,5.0,5,7,1,0,2,5,0,9,11,16,1,9
803,0.714286,0.4,0.512821,10,1.0,2.0,4,3,0,0,3,2,2,4,5,7,0,6
806,1.0,0.777778,0.875,9,1.0,2.0,6,6,0,2,4,4,0,2,9,9,2,2
807,1.0,0.428571,0.6,7,1.0,2.0,2,2,0,0,2,2,3,1,3,3,0,4
811,1.0,1.0,1.0,7,1.0,3.0,6,4,0,1,3,5,0,0,8,8,1,0
814,0.714286,0.6,0.652174,5,1.0,0,1,4,0,1,2,2,0,2,5,7,1,2
815,0,0.0,0.0,3,0,0.0,0,0,0,0,1,0,1,2,0,3,0,3
816,0.833333,0.75,0.789474,4,0,0,0,5,0,0,1,3,0,1,5,6,0,1
821,1.0,0.4,0.571429,15,1.0,0,4,4,0,0,3,4,0,9,8,8,0,9
825,1.0,0.5,0.666667,8,0.5333333333333333,2.0,8,0,7,0,5,0,4,0,4,4,6,4
901,0.533333,0.666667,0.592593,12,0,0,0,8,0,0,1,8,0,4,8,15,0,4
902,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0
904,1.0,0.1875,0.315789,16,1.0,1.6666666666666667,5,0,0,0,3,1,9,4,3,3,0,13
905,1.0,0.333333,0.5,9,1.0,2.0,2,2,0,0,2,2,3,3,3,3,0,6
908,1.0,0.333333,0.5,6,1.0,2.0,2,2,0,0,1,2,1,3,3,3,0,4
912,1.0,0.5,0.666667,8,0,0,0,3,0,0,2,3,0,4,3,3,0,4
920,0.071429,0.0,0.0,2,1.0,2.0,2,0,0,0,1,0,2,0,1,14,0,2
921,0,0.0,0.0,2,0,0,0,0,0,0,1,0,2,0,0,7,0,2
930,1.0,0.714286,0.833333,7,0,0,0,3,0,0,1,5,0,2,3,3,0,2
939,1.0,0.6,0.75,5,1.0,2.0,6,0,0,0,4,0,2,0,3,3,0,2
