Batch,File,Repository,Commit SHA,Refactoring Type,Description
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,b843f1851c334bd6019fe50a29dd6e460183f69d,Rename Class,Rename Class eu.stratosphere.pact.test.contracts.ContractsTests renamed to eu.stratosphere.pact.test.contracts.ContractTests
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,6f52786e44bffd08973fc8a3a45e4a176f53ca41,Rename Method,Rename Method public getMinumumNumberOfSubtasks() : int renamed to public getMinimumNumberOfSubtasks() : int in class eu.stratosphere.nephele.template.AbstractInvokable
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,6b360ebff0da7eaf5551bd6c0542a71b95efacf0,Rename Class,Rename Class eu.stratosphere.nephele.jobmanager.GrepTask renamed to eu.stratosphere.nephele.jobmanager.ForwardTask
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,6b360ebff0da7eaf5551bd6c0542a71b95efacf0,Rename Method,Rename Method public cleanUp() : void renamed to public shutdown() : void in class eu.stratosphere.nephele.jobmanager.JobManager
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,19b933c7552f94cebb57bcd82e69a43cec9fc803,Rename Method,Rename Method public cleanUp() : void renamed to public shutdown() : void in class eu.stratosphere.nephele.taskmanager.TaskManager
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,33eda2a6ab654e501c149adf8810cef83e3491e7,Rename Class,Rename Class eu.stratosphere.nephele.instance.cluster.ClusterManagerTest.MyInstanceNotifiable renamed to eu.stratosphere.nephele.instance.cluster.ClusterManagerTest.MyInstanceListener
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,33eda2a6ab654e501c149adf8810cef83e3491e7,Rename Class,Rename Class eu.stratosphere.nephele.execution.ExecutionNotifiable renamed to eu.stratosphere.nephele.execution.ExecutionListener
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,33eda2a6ab654e501c149adf8810cef83e3491e7,Rename Class,Rename Class eu.stratosphere.nephele.instance.cloud.CloudManagerTest.MyInstanceNotifiable renamed to eu.stratosphere.nephele.instance.cloud.CloudManagerTest.MyInstanceListener
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,33eda2a6ab654e501c149adf8810cef83e3491e7,Rename Class,Rename Class eu.stratosphere.nephele.jobmanager.scheduler.queue.QueueExecutionNotifiable renamed to eu.stratosphere.nephele.jobmanager.scheduler.queue.QueueExecutionListener
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,33eda2a6ab654e501c149adf8810cef83e3491e7,Rename Class,Rename Class eu.stratosphere.nephele.jobmanager.EventCollector.ExecutionNotifiableWrapper renamed to eu.stratosphere.nephele.jobmanager.EventCollector.ExecutionListenerWrapper
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,33eda2a6ab654e501c149adf8810cef83e3491e7,Rename Class,Rename Class eu.stratosphere.nephele.jobmanager.scheduler.local.LocalExecutionNotifiable renamed to eu.stratosphere.nephele.jobmanager.scheduler.local.LocalExecutionListener
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,33eda2a6ab654e501c149adf8810cef83e3491e7,Rename Class,Rename Class eu.stratosphere.nephele.profiling.ProfilingNotifiable renamed to eu.stratosphere.nephele.profiling.ProfilingListener
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,33eda2a6ab654e501c149adf8810cef83e3491e7,Rename Class,Rename Class eu.stratosphere.nephele.executiongraph.ExecutionGraphTest.MyInstanceNotifiable renamed to eu.stratosphere.nephele.executiongraph.ExecutionGraphTest.MyInstanceListener
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,33eda2a6ab654e501c149adf8810cef83e3491e7,Rename Attribute,Rename Attribute instanceNotifiable : InstanceListener to instanceListener : InstanceListener in class eu.stratosphere.nephele.instance.cluster.ClusterInstanceNotifier
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,33eda2a6ab654e501c149adf8810cef83e3491e7,Rename Parameter,"Rename Parameter instanceNotifiable : InstanceListener to instanceListener : InstanceListener in method public ClusterInstanceNotifier(instanceListener InstanceListener, allocatedSlice AllocatedSlice) from class eu.stratosphere.nephele.instance.cluster.ClusterInstanceNotifier"
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,33eda2a6ab654e501c149adf8810cef83e3491e7,Rename Variable,Rename Variable dummyInstanceNotifiable : MyInstanceNotifiable to dummyInstanceListener : MyInstanceListener in method public testInstanceConfiguration() : void from class eu.stratosphere.nephele.instance.cluster.ClusterManagerTest
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,33eda2a6ab654e501c149adf8810cef83e3491e7,Rename Variable,Rename Variable dummyInstanceNotifiable : MyInstanceNotifiable to dummyInstanceListener : MyInstanceListener in method public testAllocationDeallocation() : void from class eu.stratosphere.nephele.instance.cluster.ClusterManagerTest
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,33eda2a6ab654e501c149adf8810cef83e3491e7,Rename Variable,Rename Variable dummyInstanceNotifiable : MyInstanceNotifiable to dummyInstanceListener : MyInstanceListener in method public testTimeout() : void from class eu.stratosphere.nephele.instance.cluster.ClusterManagerTest
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,33eda2a6ab654e501c149adf8810cef83e3491e7,Rename Method,Rename Method public registerExecutionNotifiable(executionNotifiable ExecutionNotifiable) : void renamed to public registerExecutionListener(executionListener ExecutionListener) : void in class eu.stratosphere.nephele.execution.Environment
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,33eda2a6ab654e501c149adf8810cef83e3491e7,Rename Method,Rename Method public unregisterExecutionNotifiable(executionNotifible ExecutionNotifiable) : void renamed to public unregisterExecutionListener(executionListener ExecutionListener) : void in class eu.stratosphere.nephele.execution.Environment
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,33eda2a6ab654e501c149adf8810cef83e3491e7,Rename Parameter,Rename Parameter executionNotifiable : ExecutionNotifiable to executionListener : ExecutionListener in method public registerExecutionListener(executionListener ExecutionListener) : void from class eu.stratosphere.nephele.execution.Environment
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,33eda2a6ab654e501c149adf8810cef83e3491e7,Rename Parameter,Rename Parameter executionNotifible : ExecutionNotifiable to executionListener : ExecutionListener in method public unregisterExecutionListener(executionListener ExecutionListener) : void from class eu.stratosphere.nephele.execution.Environment
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,33eda2a6ab654e501c149adf8810cef83e3491e7,Rename Attribute,Rename Attribute executionNotifiables : List<ExecutionNotifiable> to executionListeners : List<ExecutionListener> in class eu.stratosphere.nephele.execution.Environment
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,33eda2a6ab654e501c149adf8810cef83e3491e7,Rename Parameter,"Rename Parameter eventNotifiable : EventListener to eventListener : EventListener in method public subscribeToEvent(eventListener EventListener, eventType Class<? extends AbstractTaskEvent>) : void from class eu.stratosphere.nephele.io.InputGate"
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,33eda2a6ab654e501c149adf8810cef83e3491e7,Rename Parameter,"Rename Parameter eventNotifiable : EventListener to eventListener : EventListener in method public unsubscribeFromEvent(eventListener EventListener, eventType Class<? extends AbstractTaskEvent>) : void from class eu.stratosphere.nephele.io.InputGate"
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,33eda2a6ab654e501c149adf8810cef83e3491e7,Rename Parameter,"Rename Parameter eventNotifiable : EventListener to eventListener : EventListener in method public subscribeToEvent(eventListener EventListener, eventType Class<? extends AbstractTaskEvent>) : void from class eu.stratosphere.nephele.io.OutputGate"
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,33eda2a6ab654e501c149adf8810cef83e3491e7,Rename Parameter,"Rename Parameter eventNotifiable : EventListener to eventListener : EventListener in method public unsubscribeFromEvent(eventListener EventListener, eventType Class<? extends AbstractTaskEvent>) : void from class eu.stratosphere.nephele.io.OutputGate"
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,33eda2a6ab654e501c149adf8810cef83e3491e7,Rename Parameter,"Rename Parameter eventNotifiable : EventListener to eventListener : EventListener in method public subscribeToEvent(eventListener EventListener, eventType Class<? extends AbstractTaskEvent>) : void from class eu.stratosphere.nephele.io.RecordReader"
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,33eda2a6ab654e501c149adf8810cef83e3491e7,Rename Parameter,"Rename Parameter eventNotifiable : EventListener to eventListener : EventListener in method public unsubscribeFromEvent(eventListener EventListener, eventType Class<? extends AbstractTaskEvent>) : void from class eu.stratosphere.nephele.io.RecordReader"
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,33eda2a6ab654e501c149adf8810cef83e3491e7,Rename Parameter,"Rename Parameter eventNotifiable : EventListener to eventListener : EventListener in method public subscribeToEvent(eventListener EventListener, eventType Class<? extends AbstractTaskEvent>) : void from class eu.stratosphere.nephele.io.RecordWriter"
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,33eda2a6ab654e501c149adf8810cef83e3491e7,Rename Parameter,"Rename Parameter eventNotifiable : EventListener to eventListener : EventListener in method public unsubscribeFromEvent(eventListener EventListener, eventType Class<? extends AbstractTaskEvent>) : void from class eu.stratosphere.nephele.io.RecordWriter"
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,33eda2a6ab654e501c149adf8810cef83e3491e7,Rename Variable,Rename Variable myInstanceNotifiable : MyInstanceNotifiable to myInstanceListener : MyInstanceListener in method public testGetDefaultInstance() : void from class eu.stratosphere.nephele.instance.cloud.CloudManagerTest
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,33eda2a6ab654e501c149adf8810cef83e3491e7,Rename Variable,Rename Variable myInstanceNotifiable : MyInstanceNotifiable to myInstanceListener : MyInstanceListener in method public testGetSuitableInstanceType() : void from class eu.stratosphere.nephele.instance.cloud.CloudManagerTest
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,33eda2a6ab654e501c149adf8810cef83e3491e7,Rename Variable,Rename Variable myInstanceNotifiable : MyInstanceNotifiable to myInstanceListener : MyInstanceListener in method public testGetInstanceTypeByName() : void from class eu.stratosphere.nephele.instance.cloud.CloudManagerTest
