Batch,File,Repository,Commit SHA,Description,is_pure_rename
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,33eda2a6ab654e501c149adf8810cef83e3491e7,Rename Variable myInstanceNotifiable : MyInstanceNotifiable to myInstanceListener : MyInstanceListener in method public testConvertJobGraphToExecutionGraph2() : void from class eu.stratosphere.nephele.executiongraph.ExecutionGraphTest,No
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,33eda2a6ab654e501c149adf8810cef83e3491e7,Rename Variable myInstanceNotifiable : MyInstanceNotifiable to myInstanceListener : MyInstanceListener in method public testConvertJobGraphToExecutionGraph3() : void from class eu.stratosphere.nephele.executiongraph.ExecutionGraphTest,No
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,33eda2a6ab654e501c149adf8810cef83e3491e7,Rename Variable myInstanceNotifiable : MyInstanceNotifiable to myInstanceListener : MyInstanceListener in method public testConvertJobGraphToExecutionGraph4() : void from class eu.stratosphere.nephele.executiongraph.ExecutionGraphTest,No
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,fc128deffd2ef57f9de46cf9da247bfafa9898d7,Rename Variable runtime : Runtime to hardwareDescription : HardwareDescription in method public createDefaultInstanceType() : InstanceType from class eu.stratosphere.nephele.instance.local.LocalInstanceManager,No
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,fc128deffd2ef57f9de46cf9da247bfafa9898d7,Rename Variable memorySizeInMB : int to physicalMemory : int in method public createDefaultInstanceType() : InstanceType from class eu.stratosphere.nephele.instance.local.LocalInstanceManager,Yes
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,b91c8192472605010747c424acbfc902bf097659,Rename Variable ci : CloudInstance to cloudInstance : CloudInstance in method private constructSmallCloudInstance() : CloudInstance from class eu.stratosphere.nephele.instance.cloud.CloudInstanceTest,Yes
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,b91c8192472605010747c424acbfc902bf097659,Rename Variable ci : CloudInstance to cloudInstance : CloudInstance in method private constructSmallCloudInstance() : CloudInstance from class eu.stratosphere.nephele.instance.cloud.CloudInstanceTest,Yes
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,49db2ba8e846f29b116799ddae69c5434001755e,Rename Variable highestAccomodationIndex : int to highestAccommodationIndex : int in method private updateInstaceTypeDescriptionList() : void from class eu.stratosphere.nephele.instance.cluster.ClusterManager,Yes
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,49db2ba8e846f29b116799ddae69c5434001755e,Rename Variable descriptionOfLargerInstance : HardwareDescription to hardwareDescriptionOfLargerInstanceType : HardwareDescription in method private updateInstaceTypeDescriptionList() : void from class eu.stratosphere.nephele.instance.cluster.ClusterManager,Yes
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,49db2ba8e846f29b116799ddae69c5434001755e,Rename Variable e : InstanceException to ie : InstanceException in method public testAllocationDeallocation() : void from class eu.stratosphere.nephele.instance.cluster.ClusterManagerTest,Yes
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,b0d572990477a1db22ca08b325a285991875822d,Rename Variable dummyInstanceListener : MyInstanceListener to testInstanceListener : TestInstanceListener in method public testInstanceConfiguration() : void from class eu.stratosphere.nephele.instance.cluster.ClusterManagerTest,No
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,b0d572990477a1db22ca08b325a285991875822d,Rename Variable dummyInstanceListener : MyInstanceListener to testInstanceListener : TestInstanceListener in method public testInstanceMatching() : void from class eu.stratosphere.nephele.instance.cluster.ClusterManagerTest,No
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,b0d572990477a1db22ca08b325a285991875822d,Rename Variable dummyInstanceListener : MyInstanceListener to testInstanceListener : TestInstanceListener in method public testAllocationDeallocation() : void from class eu.stratosphere.nephele.instance.cluster.ClusterManagerTest,No
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,9e12c3ce0f368c9bd76090c6c9871a417c4d7760,Rename Variable maxMachines : int to maxMachinesJob : int in method public compile(pactPlan Plan) : OptimizedPlan from class eu.stratosphere.pact.compiler.PactCompiler,Yes
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,a95dd4ac8c508926f6d70f76073a63d4662ed2b5,"Rename Variable requiredInstanceTypes : Map<InstanceType,Integer> to requiredInstances : Map<InstanceType,Integer> in method private requestInstances(executionGraph ExecutionGraph) : void from class eu.stratosphere.nephele.jobmanager.scheduler.queue.QueueScheduler",Yes
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,a95dd4ac8c508926f6d70f76073a63d4662ed2b5,"Rename Variable vertex : ExecutionVertex to entry : Map.Entry<InstanceType,Integer> in method public schedulJob(executionGraph ExecutionGraph) : void from class eu.stratosphere.nephele.jobmanager.scheduler.queue.QueueScheduler",No
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,a95dd4ac8c508926f6d70f76073a63d4662ed2b5,Rename Variable it : ExecutionGraphIterator to it2 : ExecutionGraphIterator in method public schedulJob(executionGraph ExecutionGraph) : void from class eu.stratosphere.nephele.jobmanager.scheduler.local.LocalScheduler,Yes
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,f4efd998e53d8d715c6eafbd41892244a6c1a7a9,"Rename Variable edges : LinkedList<N_StringPair> to edgesList : LinkedList<Edge> in method public reduce(node PactString, edges Iterator<Edge>, out Collector<Edge,EdgeList>) : void from class eu.stratosphere.pact.example.graph.EnumTriangles.BuildTriads",No
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,f4efd998e53d8d715c6eafbd41892244a6c1a7a9,"Rename Variable v_i : PactString to e_i : PactString in method public reduce(node PactString, edges Iterator<Edge>, out Collector<Edge,EdgeList>) : void from class eu.stratosphere.pact.example.graph.EnumTriangles.BuildTriads",Yes
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,f4efd998e53d8d715c6eafbd41892244a6c1a7a9,"Rename Variable v_j : PactString to e_j : PactString in method public reduce(node PactString, edges Iterator<Edge>, out Collector<Edge,EdgeList>) : void from class eu.stratosphere.pact.example.graph.EnumTriangles.BuildTriads",Yes
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,1761b5ce4719e5948ff98af8ca1eb358cf98327f,"Rename Variable fromVertex : int to fromNode : String in method public match(matchNode PactString, path1 Path, path2 Path, out Collector<NodePair,Path>) : void from class eu.stratosphere.pact.example.graph.All2AllSP.ConcatPaths",No
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,1761b5ce4719e5948ff98af8ca1eb358cf98327f,"Rename Variable toVertex : int to toNode : String in method public match(matchNode PactString, path1 Path, path2 Path, out Collector<NodePair,Path>) : void from class eu.stratosphere.pact.example.graph.All2AllSP.ConcatPaths",No
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,a3c110c6cb67b871630d3b94a56b6516e8476b07,Rename Variable conf : Configuration to orig : Configuration in method public testConfigurationSerialization() : void from class eu.stratosphere.nephele.configuration.ConfigurationTest,Yes
