commit,old_name,new_name,type,coRename,line_number,file_path
6c3ef8f106830d09be2a669ce492be2ed72fd8ba,POLITICAL_REGARD_ENEMY_FACTION_AT_WAR,CLIMATE_REGARD_ENEMY_FACTION_AT_WAR,Rename Attribute,0,137,MekHQ/src/mekhq/campaign/universe/factionStanding/FactionStandings.java
6c3ef8f106830d09be2a669ce492be2ed72fd8ba,POLITICAL_REGARD_ENEMY_FACTION_AT_WAR,CLIMATE_REGARD_ENEMY_FACTION_AT_WAR,Rename Attribute,0,137,MekHQ/src/mekhq/campaign/universe/factionStanding/FactionStandings.java
6c3ef8f106830d09be2a669ce492be2ed72fd8ba,POLITICAL_REGARD_ENEMY_FACTION_RIVAL,CLIMATE_REGARD_ENEMY_FACTION_RIVAL,Rename Attribute,0,142,MekHQ/src/mekhq/campaign/universe/factionStanding/FactionStandings.java
6c3ef8f106830d09be2a669ce492be2ed72fd8ba,POLITICAL_REGARD_ENEMY_FACTION_RIVAL,CLIMATE_REGARD_ENEMY_FACTION_RIVAL,Rename Attribute,0,142,MekHQ/src/mekhq/campaign/universe/factionStanding/FactionStandings.java
6c3ef8f106830d09be2a669ce492be2ed72fd8ba,climateRegard,regard,Rename Variable,1,547,MekHQ/src/mekhq/campaign/universe/factionStanding/FactionStandings.java
6c3ef8f106830d09be2a669ce492be2ed72fd8ba,climateRegard,regard,Rename Variable,1,547,MekHQ/src/mekhq/campaign/universe/factionStanding/FactionStandings.java
65c231eada9320570000bd17c11a14059e7143ea,factionFame,factionRegard,Rename Variable,0,344,MekHQ/src/mekhq/gui/dialog/reportDialogs/FactionStanding/FactionStandingReport.java
65c231eada9320570000bd17c11a14059e7143ea,factionFame,factionRegard,Rename Parameter,0,406,MekHQ/src/mekhq/gui/dialog/reportDialogs/FactionStanding/FactionStandingReport.java
65c231eada9320570000bd17c11a14059e7143ea,factionFame,factionRegard,Rename Parameter,0,452,MekHQ/src/mekhq/gui/dialog/reportDialogs/FactionStanding/FactionStandingReport.java
65c231eada9320570000bd17c11a14059e7143ea,factionFame,factionRegard,Rename Variable,0,344,MekHQ/src/mekhq/gui/dialog/reportDialogs/FactionStanding/FactionStandingReport.java
